SongID,TrackName,Artists,Genre,FilePath
234,I Don't Speak French (Adieu),Jonas Aden/RebMoe,Dutch House,..\data\audio_files\processed\234.mp3
235,JOY (Up The Street),Joy Anonymous,,..\data\audio_files\processed\235.mp3
236,4AM,JOYRYDE,Bass House,..\data\audio_files\processed\236.mp3
237,ON FIRE,JOYRYDE,Bass House,..\data\audio_files\processed\237.mp3
238,i'm shy when i'm around you,Justin Jay,Bass House,..\data\audio_files\processed\238.mp3
239,I Feel It,Kaivon,Future Bass,..\data\audio_files\processed\239.mp3
240,All Fckd Up,Kapuzen,Tech House,..\data\audio_files\processed\240.mp3
241,Jorts FTW,Kaskade/Too Many Zooz,Edm,..\data\audio_files\processed\241.mp3
242,Girl,KC Lights,Deep Groove House,..\data\audio_files\processed\242.mp3
243,Better Times,KC Lights/Låpsley,Deep Groove House,..\data\audio_files\processed\243.mp3
244,You Are In My System - Faster Horses Sport Mix,Kerri Chandler/Dennis Quin/Troy Denari/Faster Horses,Deep House,..\data\audio_files\processed\244.mp3
245,Work,Kevin McKay/Denise Belfon/Pupa Nas T,Tech House,..\data\audio_files\processed\245.mp3
246,Hideaway,Kiesza,Electropop,..\data\audio_files\processed\246.mp3
247,Red Lights (feat. Dotter) [Just A Gent Remix],Kill Paris/Dotter/Just A Gent,Chillstep,..\data\audio_files\processed\247.mp3
248,Love All Day feat. Leela D - Radio Edit,Kisch/Leela D,Deep Groove House,..\data\audio_files\processed\248.mp3
249,Low Rider (2livemafia Remix),Klypso/Snoop Dogg/Doggface/War/2livemafia,,..\data\audio_files\processed\249.mp3
250,REWiND - Wolfgang Gartner Remix,Knock2/Wolfgang Gartner,Bassline,..\data\audio_files\processed\250.mp3
251,Sweat,KREAM,Pop Dance,..\data\audio_files\processed\251.mp3
252,The Switch,KREAM,Pop Dance,..\data\audio_files\processed\252.mp3
253,Changes,Kungs/Shadow Child,Edm,..\data\audio_files\processed\253.mp3
254,Easy Tiger,Kyle Watson,Bass House,..\data\audio_files\processed\254.mp3
255,Escaping It (feat. Tania Foster),Kyle Watson/Tania Foster,Bass House,..\data\audio_files\processed\255.mp3
256,The Reason,Kyle Watson,Bass House,..\data\audio_files\processed\256.mp3
257,TikTak,Laidback Luke/Öwnboss/Kapuzen,Big Room,..\data\audio_files\processed\257.mp3
258,Never Leave You (Uh Oh) - Club Mix,Leandro Da Silva/AtcG/Sara De Sanctis,,..\data\audio_files\processed\258.mp3
259,Colourblind,Les Loups/Cybil,Filter House,..\data\audio_files\processed\259.mp3
260,Love's Just a Feeling (feat. Rooty),Lindsey Stirling/RuthAnne,Bow Pop,..\data\audio_files\processed\260.mp3
261,Wonder Woman - NVOY Remix,LION BABE/NVOY,Alternative R&B,..\data\audio_files\processed\261.mp3
262,Connected,LO'99,Australian House,..\data\audio_files\processed\262.mp3
263,Skydance,LO'99/Ray Foxx,Australian House,..\data\audio_files\processed\263.mp3
264,Break It Down - Original Mix,Loge21,Bass House,..\data\audio_files\processed\264.mp3
265,Drop That,Loge21,Bass House,..\data\audio_files\processed\265.mp3
266,Ghetto Symphony,Loge21,Bass House,..\data\audio_files\processed\266.mp3
267,New Life,Loge21,Bass House,..\data\audio_files\processed\267.mp3
268,It Made Me Fearless - ASHEZ Remix,L*o*J/Ashez,Experimental Bass,..\data\audio_files\processed\268.mp3
269,COULD BE WRONG,LOSTBOYJAY,,..\data\audio_files\processed\269.mp3
270,Waiting,LP Giobbi/Redfield/DJ Rae,House,..\data\audio_files\processed\270.mp3
271,If Love Is A Skill,LP Giobbi/Sofi Tukker,House,..\data\audio_files\processed\271.mp3
272,R.A.V.E - Zingara Remix,LSDREAM/Shlump/Zingara,,..\data\audio_files\processed\272.mp3
273,STARCHILD,LSDREAM/Shlump/Sarah Hudson,,..\data\audio_files\processed\273.mp3
274,Vermilion,Luca Lush,Electronic Trap,..\data\audio_files\processed\274.mp3
275,Shut Up - Leagas Rmx,Lucci Minati/Leagas,,..\data\audio_files\processed\275.mp3
276,Get Hard (You In The Lobby),Luke Dean,,..\data\audio_files\processed\276.mp3
277,Beatin' Tha Breaks - Fouk Remix,Magic In Threes,Instrumental Funk,..\data\audio_files\processed\277.mp3
278,Downstream,Makèz/Life on Planets,,..\data\audio_files\processed\278.mp3
279,Bling Bling (2020 Remix),Malaa,Bass House,..\data\audio_files\processed\279.mp3
280,Bling Bling (Delayers Remix),Malaa/Delayers,Bass House,..\data\audio_files\processed\280.mp3
281,Bling Bling,Malaa,Bass House,..\data\audio_files\processed\281.mp3
282,Bylina (Bellecour Remix),Malaa/Bellecour,Bass House,..\data\audio_files\processed\282.mp3
283,Hostyl,Malaa/Dombresky,Bass House,..\data\audio_files\processed\283.mp3
284,Sweet Dreams,Marcus Layton,German Dance,..\data\audio_files\processed\284.mp3
285,Feel Good Inc.,Marcus Layton/Nonô,German Dance,..\data\audio_files\processed\285.mp3
286,Lady (Hear Me Tonight),Mark Knight/James Hurr,House,..\data\audio_files\processed\286.mp3
287,Anøther Dimensiøn,Marten Hørger,Bass House,..\data\audio_files\processed\287.mp3
288,GONNA BE ME,Marten Hørger,Bass House,..\data\audio_files\processed\288.mp3
289,I Am Ready,Marten Hørger,Bass House,..\data\audio_files\processed\289.mp3
290,Jungle,Marten Hørger,Bass House,..\data\audio_files\processed\290.mp3
291,Heavy,Marten Hørger/Neon Steve,Bass House,..\data\audio_files\processed\291.mp3
292,You Don't,Marten Hørger/Neon Steve,Bass House,..\data\audio_files\processed\292.mp3
293,Make U Sweat,Martin Ikin,Bass House,..\data\audio_files\processed\293.mp3
294,Fairy Tale,Marvin Aloys,,..\data\audio_files\processed\294.mp3
295,Deep Inside - Extended,Mat Zo,Complextro,..\data\audio_files\processed\295.mp3
296,Motivate,Mat Zo,Complextro,..\data\audio_files\processed\296.mp3
297,Bang (feat. Dances With White Girls) - ANGELZ Remix,Matroda/Dances/ANGELZ,Bass House,..\data\audio_files\processed\297.mp3
298,Bang (feat. Dances With White Girls),Matroda/Dances,Bass House,..\data\audio_files\processed\298.mp3
299,Boom Bap,Matroda,Bass House,..\data\audio_files\processed\299.mp3
300,Can’t Fight The Feeling,Matroda,Bass House,..\data\audio_files\processed\300.mp3
301,D.A.N.C.I.N.G,Matroda,Bass House,..\data\audio_files\processed\301.mp3
302,Deep Inside 2020,Matroda,Bass House,..\data\audio_files\processed\302.mp3
303,Do You Remember House?,Matroda,Bass House,..\data\audio_files\processed\303.mp3
304,My Mind,Matroda,Bass House,..\data\audio_files\processed\304.mp3
305,No Sleep (6AM) (feat. MERYLL),Matroda/MERYLL,Bass House,..\data\audio_files\processed\305.mp3
306,True G (feat. BRUX),Matroda/BRUX,Bass House,..\data\audio_files\processed\306.mp3
307,Walk In The Spot,Matroda,Bass House,..\data\audio_files\processed\307.mp3
308,Wasting Time,Matroda,Bass House,..\data\audio_files\processed\308.mp3
309,Disco Tool - Taiki Nulight Remix,Matroda/Bleu Clair/Taiki Nulight,Bass House,..\data\audio_files\processed\309.mp3
310,Disco Tool,Matroda/Bleu Clair,Bass House,..\data\audio_files\processed\310.mp3
311,Raise Em Up,Matroda/Loge21,Bass House,..\data\audio_files\processed\311.mp3
312,The Funk You Want,Matroda/POLOVICH,Bass House,..\data\audio_files\processed\312.mp3
313,The One,Matroda/San Pacho,Bass House,..\data\audio_files\processed\313.mp3
314,Body Move,Matroda/Tom Budin,Bass House,..\data\audio_files\processed\314.mp3
315,Give It To Me - Full Vocal Mix,Matt Sassari,French Tech House,..\data\audio_files\processed\315.mp3
316,Paris to Milan,Matt Sassari/Ashibah,French Tech House,..\data\audio_files\processed\316.mp3
317,Dress Code,Mau P,Tech House,..\data\audio_files\processed\317.mp3
318,Gimme That Bounce,Mau P,Tech House,..\data\audio_files\processed\318.mp3
319,Deep Inside,Maur,Uk Dance,..\data\audio_files\processed\319.mp3
320,Set You Free,Maur/FABER,Uk Dance,..\data\audio_files\processed\320.mp3
321,Hypnotic,Max Styler,Brostep,..\data\audio_files\processed\321.mp3
322,Satisfy,Max Styler,Brostep,..\data\audio_files\processed\322.mp3
323,God Made Me Phunky - Jess Bays Remix,MD X-Spress/Jess Bays,Classic House,..\data\audio_files\processed\323.mp3
324,Forgiveness,Me & My Toothbrush,,..\data\audio_files\processed\324.mp3
325,Musica,MEDUZA,Edm,..\data\audio_files\processed\325.mp3
326,I Got Nothing,MEDUZA/Ferreck Dawn/Clementine Douglas,Edm,..\data\audio_files\processed\326.mp3
327,Everything You Have Done,MEDUZA/GENESI,Edm,..\data\audio_files\processed\327.mp3
328,Say It To My Face,Melissa Pools/Axel North,,..\data\audio_files\processed\328.mp3
329,Transcendence,MEMBA/Kahani,Indian Edm,..\data\audio_files\processed\329.mp3
330,Bim Boom Bam,Merk & Kremont,Dutch House,..\data\audio_files\processed\330.mp3
331,Move With Me,Mia More/Able Faces,,..\data\audio_files\processed\331.mp3
332,Rosa - Malóne Remix,Mia Moretti/Malóne,,..\data\audio_files\processed\332.mp3
333,Different Side,Michael Bibi/KinAhau/Audio Bullys,Tech House,..\data\audio_files\processed\333.mp3
334,Waiting,Midnight Pool Party,Synth Funk,..\data\audio_files\processed\334.mp3
335,DJ Beat That Shhh - extended mixX,Mike Dunn/MD X-Spress,Chicago House,..\data\audio_files\processed\335.mp3
336,Take My Chance,MK,House,..\data\audio_files\processed\336.mp3
337,Rhyme Dust,MK/Dom Dolla,House,..\data\audio_files\processed\337.mp3
338,Jealous,Mochakk,,..\data\audio_files\processed\338.mp3
339,More Love - Rampa &ME Remix,Moderat/Keinemusik/Rampa/&ME,Electronica,..\data\audio_files\processed\339.mp3
340,Never Get To You,Moon Boots/Antony & Cleopatra,Filter House,..\data\audio_files\processed\340.mp3
341,I Want Your Attention,Moon Boots/Fiora,Filter House,..\data\audio_files\processed\341.mp3
342,Can You Feel It,MORTEN,Danish Electronic,..\data\audio_files\processed\342.mp3
343,Ain't No Other Man - Rework,Murphy's Law (UK),,..\data\audio_files\processed\343.mp3
344,Vente,Nic Fanciulli/Calussa,Deep Disco House,..\data\audio_files\processed\344.mp3
345,Atmosphere,Niko The Kid,Tech House,..\data\audio_files\processed\345.mp3
346,Dance Du Sol (Badapa),Niko The Kid,Tech House,..\data\audio_files\processed\346.mp3
347,Hella Good,Niko The Kid/Benson,Tech House,..\data\audio_files\processed\347.mp3
348,Fear,NITTI,Brostep,..\data\audio_files\processed\348.mp3
349,Sex Drive,NITTI/Hadar Adora,Brostep,..\data\audio_files\processed\349.mp3
350,Dance,Noizu,Bass House,..\data\audio_files\processed\350.mp3
351,For Your Soul,Noizu,Bass House,..\data\audio_files\processed\351.mp3
352,Jungle,Noizu,Bass House,..\data\audio_files\processed\352.mp3
353,Lasers,Noizu,Bass House,..\data\audio_files\processed\353.mp3
354,No More,Noizu,Bass House,..\data\audio_files\processed\354.mp3
355,Vogue,Noizu,Bass House,..\data\audio_files\processed\355.mp3
356,Burnin',Noizu/Martin Ikin,Bass House,..\data\audio_files\processed\356.mp3
