danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename,duration,ks_key,key_corr,camelot_key,overall_tempo,times_tempogram_kfixed,times_chroma_kfixed,numseg_combined_kfixed,times_combined_kfixed
0.829,0.985,1,-3.33,1,0.067,0.000347,0.762,0.0326,0.599,124.983,4,58cJhEdo6YCEP1Lw4BJo9g,['1PiNBMw3iIaG021gWeidUY'],['bass house'],Everybody Goes,Bellecour,Bellecour - Everybody Goes.mp3,215.04,G minor,0.22424882910608207,6A,125.0,"29.301333333333332,37.077333333333335,186.09066666666666","28.874666666666666,68.864,169.024",4.0,"29.301333333333332,68.864,169.024,186.09066666666666"
0.694,0.669,7,-5.748,1,0.0328,0.0382,0.021,0.0975,0.338,121.987,4,2Ob2E0owyR8gdF0YGf0fZp,['0PxzGnCYBpSuaI49OR94cA'],[],Joypunks,Big Wild,Big Wild - Joypunks.mp3,191.884,C major,0.7212845126163103,8B,122.28260869565217,"24.245333333333335,142.912,173.36533333333333","79.328,111.06133333333334,172.608",5.0,"24.245333333333335,79.328,111.06133333333334,142.912,173.36533333333333"
0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,4,5zwwW9Oq7ubSxoCGyW1nbY,['41MozSoPIsD1dJM0CLPjZF'],"['k-pop', 'pop', 'k-pop girl group']",Pink Venom,BLACKPINK,BLACKPINK - Pink Venom.mp3,181.899,G# minor,0.38898224066053666,1A,90.7258064516129,"31.733333333333334,42.26133333333333,138.272","10.421333333333333,73.67466666666667,96.64",6.0,"10.421333333333333,31.733333333333334,42.26133333333333,73.67466666666667,96.64,138.272"
0.804,0.892,7,-3.017,1,0.07,0.0113,0.822,0.133,0.54,126.019,4,3QORLvINZ5ie3lRsTOZJqD,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Funk Accelerator,Bleu Clair,Bleu Clair - Funk Accelerator.mp3,219.322,G minor,0.30973657672730365,6A,125.0,"94.60266666666666,123.01866666666666,215.70133333333334","108.352,123.44533333333334,153.344",5.0,"94.60266666666666,108.352,123.01866666666666,153.344,215.70133333333334"
0.685,0.846,7,-3.771,0,0.0462,0.099,0.00168,0.344,0.255,126.046,4,5NAeLHGIbxGcmKMwYxuwWS,"['7kA4sEagpoNK91I7wr9tYr', '596BA0qMEP52RCEOiqIrnr']","['indonesian edm', 'tech house', 'bass house']",Have Me All,"Bleu Clair, Jelita",Bleu Clair - Have Me All (feat. Jelita).mp3,170.005,F minor,0.6010287656995592,4A,125.0,"16.810666666666666,32.010666666666665,152.77866666666668","39.946666666666665,123.76533333333333,153.70666666666668",4.0,"16.810666666666666,32.010666666666665,123.76533333333333,152.77866666666668"
0.685,0.918,1,-4.591,1,0.0437,0.0897,0.00635,0.158,0.217,123.977,4,1E7HbaOLA8FN3iUynKevpg,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Hypnotized,Bleu Clair,Bleu Clair - Hypnotized.mp3,160.653,G minor,0.3162453288920172,6A,125.0,"94.816,107.712,156.352","32.8,77.92,110.21866666666666",5.0,"32.8,77.92,94.816,107.712,156.352"
0.715,0.948,7,-4.152,1,0.0617,0.0322,0.928,0.0409,0.608,125.999,4,2Oh4jKif9YIlxbg8aX6Km0,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Sand Dunes,Bleu Clair,Bleu Clair - Sand Dunes.mp3,200.385,F minor,0.6407929180377344,4A,125.0,"100.736,138.98666666666668,152.82133333333334","55.18933333333333,131.456,152.84266666666667",4.0,"55.18933333333333,100.736,131.456,152.82133333333334"
0.745,0.987,1,-4.114,0,0.0845,0.00213,0.324,0.34,0.696,126.015,4,533T9iIMBhmRXcKVH48CxO,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Step Into It,Bleu Clair,Bleu Clair - Step Into It.mp3,192.996,A minor,0.4524338570863574,8A,125.0,"33.632,109.26933333333334,144.77866666666668","30.506666666666668,78.528,140.98133333333334",4.0,"30.506666666666668,78.528,109.26933333333334,140.98133333333334"
0.783,0.954,11,-4.796,0,0.0748,0.00966,0.638,0.0676,0.752,125.983,4,7F2xg9REyaMDf9JHMV8V9S,"['7kA4sEagpoNK91I7wr9tYr', '1XwL3qdo0jPmliKRgxY5TL']","['indonesian edm', 'tech house', 'bmore', 'bass house']",Peanut Butter,"Bleu Clair, Dances With White Girls","Bleu Clair, Dances With White Girls - Peanut Butter.mp3",168.863,A# major,0.4160442033971103,6B,125.0,"29.749333333333333,107.24266666666666,153.39733333333334","63.754666666666665,106.08,137.83466666666666",5.0,"29.749333333333333,63.754666666666665,107.24266666666666,137.83466666666666,153.39733333333334"
0.796,0.992,1,-3.009,0,0.0589,0.00232,0.728,0.253,0.702,127.994,4,3vq4X1cphzASnVAPR3Tfqg,"['7kA4sEagpoNK91I7wr9tYr', '3kWLEfykUXgiuhbR2NwnLI', '0O6GiRrnADewkp91ELz39s']","['indonesian edm', 'tech house', 'bass house']",Killer Bee,"Bleu Clair, OOTORO, Chyra","Bleu Clair, OOTORO, Chyra - Killer Bee.mp3",166.079,E minor,0.5623718192683088,9A,127.8409090909091,"59.68,105.632,134.304","88.87466666666667,120.416,135.168",5.0,"59.68,88.87466666666667,105.632,120.416,134.304"
0.657,0.757,0,-5.257,0,0.0584,0.428,0.0,0.0728,0.672,122.056,4,6n7rJUcwmQDestMYXoSoZF,"['2nuKjZLgc7II6FO4Rxjt5e', '2vGaSKEDFsVPBgcnGxqlBN']","['house', 'strut', 'indie poptimism', 'uk dance']",All Cried Out,"Blonde, Alex Newell",Blonde - All Cried Out (feat. Alex Newell) - Radio Edit.mp3,168.058,G minor,0.744874369507647,6A,122.28260869565217,"7.904,37.077333333333335,130.944","5.973333333333334,39.2,107.104",4.0,"7.904,37.077333333333335,107.104,130.944"
0.894,0.84,8,-7.372,1,0.248,0.0983,0.00027,0.162,0.728,125.029,4,6k560R01qUKlpm9lbIfAXr,"['34KMxwDAHIvM7Kwt1PcClb', '2CgysNw5B7rFNRtRjQbPZ9', '4kubsO16bEfCADaVUyoYb6']","['vapor twitch', 'future bass', 'chillwave']",Fantasy,"Bodysync, Ryan Hemsworth, Giraffage","Bodysync, Ryan Hemsworth, Giraffage - Fantasy.mp3",132.518,E major,0.560267555701723,12B,125.0,"14.005333333333333,53.19466666666667,99.98933333333333","22.922666666666668,64.59733333333334,128.71466666666666",5.0,"14.005333333333333,53.19466666666667,64.59733333333334,99.98933333333333,128.71466666666666"
0.85,0.993,4,-3.463,1,0.17,0.0126,0.419,0.186,0.647,125.05,4,2C4N8mjycDcHBcHoD17sYF,"['0qM78DOdgnNPpq2CpTNgU5', '1PiNBMw3iIaG021gWeidUY']",['bass house'],Tokyo Bill,"Born Dirty, Bellecour","Born Dirty, Bellecour - Tokyo Bill.mp3",184.32,E minor,0.3486383401219881,9A,125.0,"30.432,59.989333333333335,123.04","30.336,92.33066666666667,122.48533333333333",4.0,"30.432,59.989333333333335,92.33066666666667,123.04"
