danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename
0.685,0.918,1,-4.591,1,0.0437,0.0897,0.00635,0.158,0.217,123.977,4,1E7HbaOLA8FN3iUynKevpg,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Hypnotized,Bleu Clair,Bleu Clair - Hypnotized.mp3
0.715,0.948,7,-4.152,1,0.0617,0.0322,0.928,0.0409,0.608,125.999,4,2Oh4jKif9YIlxbg8aX6Km0,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Sand Dunes,Bleu Clair,Bleu Clair - Sand Dunes.mp3
0.745,0.987,1,-4.114,0,0.0845,0.00213,0.324,0.34,0.696,126.015,4,533T9iIMBhmRXcKVH48CxO,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Step Into It,Bleu Clair,Bleu Clair - Step Into It.mp3
0.783,0.954,11,-4.796,0,0.0748,0.00966,0.638,0.0676,0.752,125.983,4,7F2xg9REyaMDf9JHMV8V9S,"['7kA4sEagpoNK91I7wr9tYr', '1XwL3qdo0jPmliKRgxY5TL']","['indonesian edm', 'tech house', 'bmore', 'bass house']",Peanut Butter,"Bleu Clair, Dances With White Girls","Bleu Clair, Dances With White Girls - Peanut Butter.mp3"
0.796,0.992,1,-3.009,0,0.0589,0.00232,0.728,0.253,0.702,127.994,4,3vq4X1cphzASnVAPR3Tfqg,"['7kA4sEagpoNK91I7wr9tYr', '3kWLEfykUXgiuhbR2NwnLI', '0O6GiRrnADewkp91ELz39s']","['indonesian edm', 'tech house', 'bass house']",Killer Bee,"Bleu Clair, OOTORO, Chyra","Bleu Clair, OOTORO, Chyra - Killer Bee.mp3"
0.657,0.757,0,-5.257,0,0.0584,0.428,0.0,0.0728,0.672,122.056,4,6n7rJUcwmQDestMYXoSoZF,"['2nuKjZLgc7II6FO4Rxjt5e', '2vGaSKEDFsVPBgcnGxqlBN']","['house', 'strut', 'indie poptimism', 'uk dance']",All Cried Out,"Blonde, Alex Newell",Blonde - All Cried Out (feat. Alex Newell) - Radio Edit.mp3
0.894,0.84,8,-7.372,1,0.248,0.0983,0.00027,0.162,0.728,125.029,4,6k560R01qUKlpm9lbIfAXr,"['34KMxwDAHIvM7Kwt1PcClb', '2CgysNw5B7rFNRtRjQbPZ9', '4kubsO16bEfCADaVUyoYb6']","['vapor twitch', 'future bass', 'chillwave']",Fantasy,"Bodysync, Ryan Hemsworth, Giraffage","Bodysync, Ryan Hemsworth, Giraffage - Fantasy.mp3"
0.85,0.993,4,-3.463,1,0.17,0.0126,0.419,0.186,0.647,125.05,4,2C4N8mjycDcHBcHoD17sYF,"['0qM78DOdgnNPpq2CpTNgU5', '1PiNBMw3iIaG021gWeidUY']",['bass house'],Tokyo Bill,"Born Dirty, Bellecour","Born Dirty, Bellecour - Tokyo Bill.mp3"
0.641,0.924,11,-5.952,1,0.138,0.0286,0.00212,0.185,0.516,127.984,4,7BI1wl8FIQecbsMh41hFsW,"['4XquDVA8pkg5Lx91No1JxB', '4oLeXFyACqeem2VImYeBFe', '3pK4EcflBpG1Kpmjk5LK2R']","['house', 'stutter house', 'black americana', 'neo soul', 'edm', 'modern blues rock']",Stay High again..,"Brittany Howard, Fred again.., Joy Anonymous","Brittany Howard, Fred again.., Joy Anonymous - Stay High again...mp3"
0.623,0.787,3,-6.609,1,0.0549,0.325,1.14e-06,0.0688,0.785,91.962,4,0GtwMH7DIAU5lyHlnt4LQa,"['1gi49JL4LNUMlylXm5Z0ZG', '1oPRcJUkloHaRLYx0olBLJ']",['la pop'],Superficial Love,"Calica, Magdalena Bay","Calica, Magdalena Bay - Superficial Love.mp3"
